60001, Wesola, 62, flat, between 2011-2020, 194, SilverStone Constructions, 8, 1, 34
72919, Piastowska, 43, house, between 2011-2020, 167, BlueSky Developers, 2, 1, 111
72920, Cicha, 36, flat, between 2021-2024, 117, BlueSky Developers, 8, 2, 28
72921, Sloneczna, 53, house, between 2011-2020, 53, GreenField Group, 5, 1, 80
72922, Wiosenna, 71, house, between 2001-2010, 112, SilverStone Constructions, 8, 6, 168
72923, Konopna, 72, flat, between 1951-1980, 8, SilverStone Constructions, 1, 1, 18
72924, Kwiatowa, 48, house, between 2021-2024, 83, GreenField Group, 1, 1, 244
72925, 3 Maja, 94, twin, between 1951-1980, 63, SilverStone Constructions, 3, 2, 210
72926, Ogrodowa, 65, house, between 2011-2020, 170, GoldenGate Builders, 4, 4, 71
72927, Sienkiewicza, 25, flat, between 2001-2010, 136, SilverStone Constructions, 9, 7, 42
72928, Cicha, 29, house, between 1900-1950, 170, SilverStone Constructions, 10, 3, 55
72929, Kwiatowa, 37, twin, between 1900-1950, 179, GoldenGate Builders, 1, 1, 32
72930, Mickiewicza, 53, apartment, between 2001-2010, 18, GoldenGate Builders, 3, 3, 207
72931, Mickiewicza, 24, twin, between 2011-2020, 92, BlueSky Developers, 2, 1, 7
72932, Aleja Lipowa, 94, twin, between 2011-2020, 134, GreenField Group, 3, 2, 192
72933, Krucza, 82, twin, between 2021-2024, 72, GoldenGate Builders, 3, 3, 139
72934, Ogrodowa, 38, apartment, between 1951-1980, 63, GoldenGate Builders, 5, 1, 17
72935, Spacerowa, 87, house, between 1951-1980, 157, BlueSky Developers, 8, 8, 177
72936, Krotka, 62, flat, between 2021-2024, 23, BlueSky Developers, 8, 2, 296
72937, Kwiatowa, 41, house, between 1981-2000, 185, BlueSky Developers, 6, 4, 290
72938, Lesna, 54, flat, between 1900-1950, 98, SilverStone Constructions, 1, 1, 131
72939, Akacjowa, 58, house, between 1951-1980, 1, BlueSky Developers, 6, 3, 180
72940, Krotka, 38, flat, between 1951-1980, 127, GoldenGate Builders, 8, 1, 55
72941, Rzeczna, 57, apartment, between 2001-2010, 25, GoldenGate Builders, 4, 1, 190
72942, Kwiatowa, 83, twin, between 1900-1950, 180, BlueSky Developers, 2, 2, 260
72943, Konopna, 29, apartment, between 2021-2024, 80, GoldenGate Builders, 4, 1, 238
72944, Sosnowa, 97, flat, between 2011-2020, 94, SilverStone Constructions, 4, 1, 131
72945, Piastowska, 99, house, between 2001-2010, 122, GreenField Group, 2, 2, 63
72946, Mickiewicza, 34, twin, between 2021-2024, 186, SilverStone Constructions, 2, 2, 104
72947, Wesola, 29, house, between 2011-2020, 197, BlueSky Developers, 6, 5, 257
72948, Zielona, 55, house, between 2011-2020, 61, GoldenGate Builders, 10, 3, 170
72949, Sosnowa, 65, twin, between 1951-1980, 124, BlueSky Developers, 3, 3, 98
72950, Piastowska, 31, house, between 2021-2024, 174, BlueSky Developers, 1, 1, 32
72951, Kwiatowa, 66, flat, between 2021-2024, 171, GreenField Group, 10, 7, 151
72952, Parkowa, 74, house, between 1900-1950, 18, GreenField Group, 5, 4, 299
72953, Reymonta, 58, apartment, between 2001-2010, 129, GoldenGate Builders, 5, 3, 114
72954, Kwiatowa, 79, house, between 1900-1950, 1, BlueSky Developers, 2, 1, 254
72955, Parkowa, 26, apartment, between 1951-1980, 21, GreenField Group, 6, 5, 221
72956, Brzozowa, 73, apartment, between 1951-1980, 184, GoldenGate Builders, 4, 3, 281
72957, Mickiewicza, 37, flat, between 2001-2010, 75, GoldenGate Builders, 2, 2, 247
72958, Kwiatowa, 76, house, between 1951-1980, 88, BlueSky Developers, 2, 2, 206
72959, Zielona, 50, flat, between 1900-1950, 123, SilverStone Constructions, 6, 6, 88
72960, Krotka, 49, flat, between 2001-2010, 185, GoldenGate Builders, 2, 1, 166
72961, Krotka, 73, flat, between 1951-1980, 99, GreenField Group, 1, 1, 55
72962, Kwiatowa, 88, twin, between 1981-2000, 79, GreenField Group, 2, 1, 299
72963, Piekna, 36, house, between 2001-2010, 137, GreenField Group, 1, 1, 54
72964, Kwiatowa, 69, flat, between 1981-2000, 124, BlueSky Developers, 1, 1, 248
72965, Topolowa, 91, twin, between 1900-1950, 134, GreenField Group, 2, 1, 219
72966, Wesola, 21, twin, between 1981-2000, 37, GoldenGate Builders, 2, 2, 273
72967, Plac Wolnosci, 87, twin, between 1981-2000, 152, GoldenGate Builders, 2, 2, 13
72968, Aleja Lipowa, 23, house, between 2011-2020, 55, SilverStone Constructions, 4, 4, 139
72969, Kwiatowa, 60, apartment, between 1951-1980, 146, GreenField Group, 7, 7, 257
72970, 3 Maja, 61, flat, between 2001-2010, 137, SilverStone Constructions, 4, 2, 160
72971, Kwiatowa, 76, house, between 2011-2020, 44, BlueSky Developers, 2, 1, 15
72972, Chopina, 52, apartment, between 2011-2020, 182, GreenField Group, 3, 3, 149
72973, Kwiatowa, 77, twin, between 2021-2024, 124, BlueSky Developers, 2, 2, 274
72974, Reymonta, 87, flat, between 1900-1950, 112, SilverStone Constructions, 2, 2, 258
72975, Kwiatowa, 51, twin, between 2021-2024, 53, SilverStone Constructions, 2, 1, 159
72976, Mickiewicza, 70, twin, between 2021-2024, 51, GreenField Group, 2, 2, 278
72977, Mickiewicza, 73, house, between 1900-1950, 100, GoldenGate Builders, 7, 2, 141
72978, Mickiewicza, 96, house, between 2001-2010, 125, GreenField Group, 6, 3, 28
72979, Sienkiewicza, 23, twin, between 1981-2000, 111, GoldenGate Builders, 1, 1, 131
72980, Sosnowa, 85, flat, between 2001-2010, 103, SilverStone Constructions, 2, 2, 261
72981, Topolowa, 42, flat, between 2021-2024, 24, BlueSky Developers, 5, 2, 85
72982, Polna, 100, house, between 1900-1950, 162, SilverStone Constructions, 7, 2, 163
72983, Sienkiewicza, 68, house, between 1981-2000, 141, GreenField Group, 4, 2, 90
72984, Zielona, 63, house, between 2001-2010, 195, SilverStone Constructions, 2, 1, 133
72985, Piastowska, 43, apartment, between 2001-2010, 56, SilverStone Constructions, 9, 9, 41
72986, Parkowa, 64, flat, between 2011-2020, 117, GreenField Group, 9, 3, 208
72987, Chopina, 88, apartment, between 1981-2000, 42, BlueSky Developers, 7, 1, 66
72988, Spacerowa, 31, twin, between 1900-1950, 148, GoldenGate Builders, 3, 2, 249
72989, Kwiatowa, 38, twin, between 1900-1950, 101, SilverStone Constructions, 3, 1, 63
72990, Mickiewicza, 55, flat, between 1900-1950, 198, SilverStone Constructions, 4, 1, 183
72991, Mickiewicza, 73, twin, between 1981-2000, 8, GreenField Group, 2, 1, 167
72992, Mickiewicza, 26, apartment, between 1981-2000, 123, GreenField Group, 7, 5, 287
72993, Piekna, 68, house, between 1981-2000, 67, SilverStone Constructions, 4, 1, 241
72994, Krucza, 69, twin, between 2021-2024, 166, BlueSky Developers, 2, 1, 27
72995, Sloneczna, 45, twin, between 2011-2020, 22, GoldenGate Builders, 1, 1, 16
72996, Kwiatowa, 43, flat, between 2021-2024, 154, GreenField Group, 9, 1, 22
72997, Piekna, 67, apartment, between 1951-1980, 42, BlueSky Developers, 5, 1, 180
72998, Sloneczna, 69, twin, between 1900-1950, 197, GreenField Group, 1, 1, 262
72999, Brzozowa, 91, flat, between 1900-1950, 134, GreenField Group, 4, 2, 13
73000, Mickiewicza, 52, apartment, between 2021-2024, 79, GoldenGate Builders, 3, 3, 102
73001, Rzeczna, 31, twin, between 2011-2020, 164, GreenField Group, 1, 1, 233
73002, Brzozowa, 37, house, between 1900-1950, 45, SilverStone Constructions, 6, 4, 5
73003, Mickiewicza, 68, house, between 1981-2000, 91, GreenField Group, 3, 3, 208
73004, Mickiewicza, 44, house, between 2021-2024, 103, GoldenGate Builders, 4, 2, 110
73005, Mickiewicza, 26, twin, between 1981-2000, 88, SilverStone Constructions, 2, 2, 291
73006, Ogrodowa, 49, house, between 2011-2020, 183, BlueSky Developers, 6, 2, 243
73007, 3 Maja, 46, twin, between 1981-2000, 172, GoldenGate Builders, 2, 1, 125
73008, Topolowa, 87, flat, between 2011-2020, 187, GoldenGate Builders, 9, 4, 167
73009, Wiosenna, 72, apartment, between 1900-1950, 15, GoldenGate Builders, 3, 2, 56
73010, Piastowska, 32, twin, between 1900-1950, 69, GreenField Group, 3, 3, 121
73011, Wesola, 49, house, between 1981-2000, 99, GoldenGate Builders, 1, 1, 64
73012, Mickiewicza, 29, apartment, between 1981-2000, 54, SilverStone Constructions, 10, 2, 81
73013, Kwiatowa, 64, twin, between 1951-1980, 151, SilverStone Constructions, 3, 3, 5
73014, Kwiatowa, 35, flat, between 2021-2024, 95, GoldenGate Builders, 6, 6, 93
73015, Kwiatowa, 47, house, between 2021-2024, 93, SilverStone Constructions, 3, 3, 265
73016, Zielona, 49, house, between 2001-2010, 189, GoldenGate Builders, 5, 2, 67
73017, lakowa, 45, apartment, between 2011-2020, 121, SilverStone Constructions, 2, 2, 208
73018, Polna, 50, house, between 1951-1980, 68, GoldenGate Builders, 8, 4, 3
73019, 3 Maja, 83, twin, between 2021-2024, 167, SilverStone Constructions, 3, 3, 173
73020, Mickiewicza, 80, flat, between 2021-2024, 48, BlueSky Developers, 6, 5, 271
73021, Parkowa, 30, house, between 1900-1950, 108, SilverStone Constructions, 6, 6, 43
73022, Wiosenna, 23, flat, between 2001-2010, 172, GoldenGate Builders, 10, 9, 299
73023, Brzozowa, 40, flat, between 1981-2000, 81, BlueSky Developers, 4, 4, 193
73024, Polna, 33, house, between 2021-2024, 19, SilverStone Constructions, 9, 8, 287
73025, Krucza, 24, twin, between 1951-1980, 160, SilverStone Constructions, 3, 3, 119
73026, Rzeczna, 27, apartment, between 2021-2024, 10, SilverStone Constructions, 3, 3, 18
73027, Piastowska, 56, apartment, between 2001-2010, 17, SilverStone Constructions, 10, 10, 37
73028, Parkowa, 45, house, between 2011-2020, 53, BlueSky Developers, 2, 1, 1
73029, Rzeczna, 98, apartment, between 1900-1950, 157, SilverStone Constructions, 6, 3, 22
73030, Kwiatowa, 95, twin, between 2001-2010, 155, SilverStone Constructions, 3, 3, 60
73031, Kolobrzeska, 69, apartment, between 1951-1980, 122, GreenField Group, 8, 2, 175
73032, Topolowa, 33, twin, between 1900-1950, 31, GreenField Group, 1, 1, 219
73033, Koscielna, 37, twin, between 2001-2010, 182, GoldenGate Builders, 3, 1, 208
73034, Topolowa, 65, twin, between 1951-1980, 2, GreenField Group, 3, 1, 228
73035, Zielona, 92, apartment, between 2021-2024, 189, GoldenGate Builders, 9, 7, 79
73036, Brzozowa, 70, house, between 1900-1950, 63, GoldenGate Builders, 2, 2, 143
73037, Mickiewicza, 66, apartment, between 1981-2000, 35, GoldenGate Builders, 7, 2, 257
73038, Kwiatowa, 63, flat, between 1981-2000, 84, GoldenGate Builders, 5, 4, 219
73039, Kwiatowa, 79, apartment, between 1951-1980, 84, SilverStone Constructions, 4, 4, 184
73040, Sosnowa, 54, apartment, between 1951-1980, 1, SilverStone Constructions, 6, 3, 231
73041, Piekna, 63, flat, between 2001-2010, 102, BlueSky Developers, 2, 1, 241
73042, Kolobrzeska, 25, twin, between 1951-1980, 34, GoldenGate Builders, 1, 1, 183
73043, Krucza, 62, twin, between 1900-1950, 179, SilverStone Constructions, 1, 1, 211
73044, Krotka, 58, twin, between 2001-2010, 124, GoldenGate Builders, 3, 1, 159
73045, Kwiatowa, 51, flat, between 1981-2000, 11, BlueSky Developers, 3, 3, 201
73046, Spacerowa, 33, flat, between 2011-2020, 170, SilverStone Constructions, 8, 8, 123
73047, Kwiatowa, 30, flat, between 2011-2020, 168, GoldenGate Builders, 4, 4, 92
73048, Kwiatowa, 70, twin, between 2011-2020, 44, BlueSky Developers, 2, 1, 88
73049, Kwiatowa, 88, house, between 1981-2000, 69, GreenField Group, 7, 7, 144
73050, Kwiatowa, 67, apartment, between 2021-2024, 169, BlueSky Developers, 5, 3, 289
73051, Sosnowa, 75, house, between 2021-2024, 149, SilverStone Constructions, 9, 1, 213
73052, Piekna, 40, twin, between 1900-1950, 42, GreenField Group, 3, 2, 6
73053, Chopina, 50, house, between 2021-2024, 126, BlueSky Developers, 2, 1, 23
73054, Piastowska, 54, apartment, between 1951-1980, 143, SilverStone Constructions, 3, 2, 297
73055, Kwiatowa, 85, house, between 2001-2010, 163, GreenField Group, 2, 1, 202
73056, Lesna, 54, apartment, between 2001-2010, 91, GreenField Group, 10, 8, 134
73057, Piastowska, 48, flat, between 2021-2024, 186, GreenField Group, 8, 1, 251
73058, Sloneczna, 56, flat, between 2001-2010, 187, GoldenGate Builders, 1, 1, 198
73059, Lesna, 66, flat, between 2011-2020, 102, GreenField Group, 4, 1, 264
73060, Kwiatowa, 44, flat, between 2011-2020, 131, SilverStone Constructions, 3, 2, 29
73061, Mickiewicza, 43, apartment, between 1951-1980, 178, GoldenGate Builders, 6, 5, 231
73062, Kwiatowa, 77, apartment, between 1900-1950, 44, GoldenGate Builders, 2, 1, 70
73063, 3 Maja, 79, apartment, between 1900-1950, 60, GreenField Group, 7, 7, 23
73064, Sloneczna, 99, house, between 2001-2010, 101, GoldenGate Builders, 7, 6, 269
73065, Kwiatowa, 68, twin, between 1981-2000, 75, GreenField Group, 3, 3, 224
73066, Chopina, 50, apartment, between 1900-1950, 150, GreenField Group, 6, 2, 176
73067, Chopina, 59, flat, between 1951-1980, 85, GreenField Group, 7, 7, 210
73068, Krucza, 34, house, between 2011-2020, 28, SilverStone Constructions, 2, 2, 114
73069, Konopna, 80, apartment, between 2001-2010, 5, GreenField Group, 9, 7, 52
73070, Jagiellonska, 43, apartment, between 2011-2020, 73, GoldenGate Builders, 1, 1, 203
73071, Wiosenna, 54, house, between 1951-1980, 106, SilverStone Constructions, 3, 3, 270
73072, Wiosenna, 98, flat, between 1981-2000, 80, GreenField Group, 2, 1, 165
73073, Wiosenna, 22, flat, between 1981-2000, 162, GreenField Group, 3, 3, 142
73074, Ogrodowa, 78, flat, between 1900-1950, 111, BlueSky Developers, 9, 9, 95
73075, Rzeczna, 66, twin, between 1951-1980, 44, GreenField Group, 3, 3, 1
73076, Sienkiewicza, 88, twin, between 2011-2020, 43, BlueSky Developers, 1, 1, 83
73077, Polna, 42, twin, between 1981-2000, 128, GreenField Group, 2, 1, 75
73078, Polna, 35, apartment, between 1900-1950, 55, BlueSky Developers, 7, 2, 16
73079, Piastowska, 97, twin, between 2011-2020, 5, BlueSky Developers, 1, 1, 42
73080, Parkowa, 66, flat, between 1951-1980, 11, GreenField Group, 9, 6, 53
73081, Wspolna, 25, house, between 2001-2010, 171, SilverStone Constructions, 5, 1, 116
73082, Mickiewicza, 21, twin, between 2011-2020, 90, SilverStone Constructions, 3, 2, 100
73083, Krotka, 68, house, between 1900-1950, 135, GoldenGate Builders, 9, 6, 245
73084, Parkowa, 89, apartment, between 1981-2000, 154, BlueSky Developers, 8, 6, 106
73085, Topolowa, 32, twin, between 2021-2024, 70, GoldenGate Builders, 2, 2, 206
73086, Kwiatowa, 86, house, between 1981-2000, 4, GoldenGate Builders, 9, 9, 176
73087, Sloneczna, 36, twin, between 2011-2020, 54, SilverStone Constructions, 2, 1, 252
73088, Kwiatowa, 36, flat, between 1951-1980, 139, SilverStone Constructions, 9, 4, 207
73089, Brzozowa, 89, flat, between 1951-1980, 40, SilverStone Constructions, 1, 1, 240
73090, Piekna, 70, flat, between 2001-2010, 160, BlueSky Developers, 2, 1, 67
73091, Akacjowa, 36, flat, between 1951-1980, 65, GreenField Group, 8, 4, 233
73092, Reymonta, 68, twin, between 2011-2020, 89, BlueSky Developers, 3, 1, 62
73093, Piekna, 74, flat, between 1981-2000, 135, BlueSky Developers, 10, 3, 251
73094, Chopina, 63, twin, between 1900-1950, 88, GoldenGate Builders, 2, 2, 38
73095, Wiosenna, 52, house, between 1951-1980, 36, GreenField Group, 3, 1, 297
73096, Lesna, 39, house, between 2021-2024, 6, GreenField Group, 4, 1, 56
73097, Wiosenna, 91, flat, between 2021-2024, 24, GoldenGate Builders, 8, 4, 235
73098, Mickiewicza, 82, house, between 1951-1980, 54, GoldenGate Builders, 6, 1, 200
73099, Krucza, 76, apartment, between 2001-2010, 137, GreenField Group, 9, 3, 39
73100, Kwiatowa, 30, flat, between 2011-2020, 162, GoldenGate Builders, 8, 8, 285
73101, Kwiatowa, 56, house, between 1951-1980, 181, SilverStone Constructions, 4, 4, 296
73102, Mickiewicza, 25, flat, between 2001-2010, 186, GreenField Group, 5, 1, 214
73103, Piastowska, 27, apartment, between 1951-1980, 168, SilverStone Constructions, 6, 5, 133
73104, Krotka, 44, twin, between 2001-2010, 110, SilverStone Constructions, 3, 2, 182
73105, Piastowska, 30, house, between 2021-2024, 150, GreenField Group, 1, 1, 222
73106, Slowackiego, 69, house, between 1900-1950, 29, SilverStone Constructions, 10, 6, 225
73107, Piekna, 23, flat, between 2021-2024, 66, GreenField Group, 7, 5, 57
73108, lakowa, 41, flat, between 2011-2020, 109, GreenField Group, 9, 2, 263
73109, Mickiewicza, 41, house, between 1981-2000, 89, SilverStone Constructions, 3, 3, 194
73110, Reymonta, 33, flat, between 1900-1950, 91, GreenField Group, 8, 7, 131
73111, Topolowa, 56, flat, between 1900-1950, 31, BlueSky Developers, 8, 7, 169
73112, Sloneczna, 89, apartment, between 1951-1980, 105, GoldenGate Builders, 5, 2, 159
73113, Slowackiego, 92, apartment, between 2001-2010, 74, SilverStone Constructions, 6, 3, 276
73114, Sloneczna, 73, twin, between 1900-1950, 57, GreenField Group, 2, 1, 118
73115, Krotka, 93, twin, between 2021-2024, 44, GreenField Group, 3, 3, 224
73116, Sloneczna, 85, twin, between 1900-1950, 83, BlueSky Developers, 2, 2, 110
73117, Brzozowa, 46, house, between 2001-2010, 169, SilverStone Constructions, 6, 3, 214
73118, Krucza, 45, apartment, between 2021-2024, 49, BlueSky Developers, 1, 1, 220
73119, Rzeczna, 55, house, between 1900-1950, 200, GoldenGate Builders, 2, 1, 227
73120, Sloneczna, 41, house, between 1951-1980, 180, SilverStone Constructions, 7, 2, 274
73121, Sloneczna, 98, apartment, between 2011-2020, 24, BlueSky Developers, 10, 6, 226
73122, Sloneczna, 71, twin, between 1900-1950, 126, GreenField Group, 1, 1, 13
73123, Koscielna, 39, twin, between 2011-2020, 115, BlueSky Developers, 3, 3, 135
73124, Spacerowa, 36, flat, between 2001-2010, 113, SilverStone Constructions, 9, 5, 161
73125, Parkowa, 60, twin, between 2001-2010, 122, SilverStone Constructions, 3, 2, 248
73126, Piekna, 99, apartment, between 2011-2020, 185, GreenField Group, 5, 5, 250
73127, Zielona, 33, twin, between 2011-2020, 67, GoldenGate Builders, 1, 1, 135
73128, 3 Maja, 98, apartment, between 1900-1950, 59, BlueSky Developers, 2, 2, 31
73129, Sosnowa, 55, twin, between 2011-2020, 21, GreenField Group, 1, 1, 66
73130, Mickiewicza, 23, house, between 1900-1950, 161, GreenField Group, 5, 1, 136
73131, Mickiewicza, 63, apartment, between 2021-2024, 151, SilverStone Constructions, 10, 5, 119
73132, Parkowa, 53, twin, between 2011-2020, 157, BlueSky Developers, 2, 2, 163
73133, Sportowa, 29, apartment, between 2001-2010, 178, GoldenGate Builders, 7, 7, 171
73134, Wiosenna, 64, apartment, between 2021-2024, 98, GoldenGate Builders, 1, 1, 7
73135, Kwiatowa, 77, house, between 2021-2024, 15, GoldenGate Builders, 10, 10, 213
73136, Konopna, 99, apartment, between 1951-1980, 197, SilverStone Constructions, 4, 3, 252
73137, Wspolna, 99, twin, between 1981-2000, 160, BlueSky Developers, 3, 1, 175
73138, Wiosenna, 40, twin, between 1951-1980, 125, SilverStone Constructions, 1, 1, 71
73139, Mickiewicza, 88, flat, between 1900-1950, 95, SilverStone Constructions, 9, 6, 150
73140, Kwiatowa, 58, apartment, between 2021-2024, 132, BlueSky Developers, 3, 2, 169
73141, Krotka, 71, house, between 1981-2000, 162, SilverStone Constructions, 3, 1, 47
73142, Brzozowa, 50, twin, between 1981-2000, 195, GreenField Group, 3, 1, 232
73143, Kwiatowa, 64, apartment, between 2021-2024, 134, SilverStone Constructions, 1, 1, 250
73144, Spacerowa, 90, apartment, between 1981-2000, 148, SilverStone Constructions, 9, 6, 284
73145, Mickiewicza, 99, house, between 2021-2024, 132, BlueSky Developers, 5, 1, 216
73146, Piastowska, 23, apartment, between 2011-2020, 82, GreenField Group, 3, 3, 0
73147, Koscielna, 85, twin, between 1900-1950, 164, GoldenGate Builders, 1, 1, 137
73148, Mickiewicza, 45, apartment, between 2001-2010, 121, SilverStone Constructions, 7, 2, 144
73149, Mickiewicza, 85, apartment, between 2001-2010, 9, GoldenGate Builders, 1, 1, 83
73150, Kwiatowa, 34, twin, between 2021-2024, 181, SilverStone Constructions, 2, 1, 55
73151, Akacjowa, 51, house, between 2011-2020, 3, GoldenGate Builders, 2, 2, 283
73152, Zielona, 78, house, between 2001-2010, 197, SilverStone Constructions, 10, 2, 226
73153, Topolowa, 23, house, between 1981-2000, 15, SilverStone Constructions, 10, 2, 43
73154, Sloneczna, 74, apartment, between 2021-2024, 186, SilverStone Constructions, 7, 4, 155
73155, Mickiewicza, 85, house, between 2001-2010, 27, GreenField Group, 4, 2, 72
73156, Parkowa, 72, apartment, between 1951-1980, 67, GreenField Group, 1, 1, 245
73157, Konopna, 90, flat, between 2011-2020, 102, GoldenGate Builders, 3, 2, 139
73158, Mickiewicza, 88, house, between 1900-1950, 128, GreenField Group, 4, 3, 84
73159, Slowackiego, 28, twin, between 2011-2020, 115, BlueSky Developers, 2, 1, 96
73160, Lesna, 22, apartment, between 2001-2010, 14, SilverStone Constructions, 5, 2, 241
73161, Mickiewicza, 66, twin, between 2011-2020, 110, GreenField Group, 2, 2, 229
73162, Piastowska, 78, apartment, between 2021-2024, 154, GreenField Group, 1, 1, 291
73163, Krotka, 52, twin, between 2021-2024, 177, GreenField Group, 2, 1, 77
73164, Mickiewicza, 83, flat, between 1981-2000, 68, SilverStone Constructions, 4, 1, 116
73165, Kwiatowa, 93, apartment, between 1900-1950, 126, BlueSky Developers, 7, 1, 229
73166, Reymonta, 96, house, between 1951-1980, 25, GoldenGate Builders, 7, 5, 82
73167, Zielona, 46, apartment, between 1900-1950, 82, BlueSky Developers, 8, 1, 145
73168, Ogrodowa, 89, twin, between 2011-2020, 62, SilverStone Constructions, 1, 1, 290
73169, Wspolna, 68, flat, between 1900-1950, 121, SilverStone Constructions, 6, 5, 267
73170, Krotka, 92, flat, between 2011-2020, 137, BlueSky Developers, 5, 2, 11
73171, Kwiatowa, 80, flat, between 1900-1950, 7, BlueSky Developers, 8, 3, 82
73172, Reymonta, 62, house, between 1981-2000, 200, GoldenGate Builders, 2, 1, 199
73173, Piastowska, 64, house, between 1951-1980, 21, SilverStone Constructions, 10, 2, 124
73174, Mickiewicza, 86, flat, between 2021-2024, 108, GreenField Group, 6, 3, 95
73175, Piekna, 60, twin, between 2011-2020, 26, GoldenGate Builders, 2, 1, 81
73176, Zielona, 97, flat, between 2001-2010, 161, GoldenGate Builders, 6, 1, 81
73177, Piastowska, 59, apartment, between 2011-2020, 105, GreenField Group, 6, 6, 2
73178, Piastowska, 58, twin, between 1951-1980, 76, BlueSky Developers, 3, 1, 224
73179, Krotka, 70, apartment, between 1981-2000, 75, SilverStone Constructions, 8, 2, 70
73180, Mickiewicza, 50, house, between 1900-1950, 4, BlueSky Developers, 5, 1, 35
73181, Slowackiego, 24, flat, between 1951-1980, 139, SilverStone Constructions, 4, 4, 92
73182, Ogrodowa, 57, flat, between 1981-2000, 117, BlueSky Developers, 5, 4, 220
73183, Zielona, 78, twin, between 2001-2010, 35, GoldenGate Builders, 2, 2, 21
73184, 3 Maja, 79, apartment, between 1900-1950, 90, SilverStone Constructions, 5, 3, 224
73185, Kwiatowa, 45, house, between 1951-1980, 74, BlueSky Developers, 9, 9, 182
73186, Zielona, 62, apartment, between 1981-2000, 60, GreenField Group, 10, 6, 11
73187, Lesna, 53, flat, between 1951-1980, 99, BlueSky Developers, 2, 2, 30
73188, Wesola, 97, house, between 2001-2010, 93, GreenField Group, 9, 6, 253
73189, Koscielna, 58, house, between 2001-2010, 92, GreenField Group, 9, 8, 299
73190, Kwiatowa, 73, apartment, between 2011-2020, 87, SilverStone Constructions, 3, 1, 232
73191, Spacerowa, 41, flat, between 2011-2020, 194, BlueSky Developers, 6, 1, 76
73192, Zielona, 25, house, between 2001-2010, 126, GoldenGate Builders, 1, 1, 119
73193, Mickiewicza, 21, flat, between 1900-1950, 93, BlueSky Developers, 3, 2, 158
73194, Polna, 49, house, between 2011-2020, 19, SilverStone Constructions, 6, 5, 123
73195, Krotka, 63, house, between 2001-2010, 1, GreenField Group, 3, 3, 199
73196, Cicha, 20, apartment, between 1900-1950, 137, SilverStone Constructions, 3, 3, 243
73197, Mickiewicza, 59, house, between 1900-1950, 87, GoldenGate Builders, 6, 2, 76
73198, Kwiatowa, 64, twin, between 1951-1980, 37, GoldenGate Builders, 3, 1, 242
73199, Polna, 85, apartment, between 2011-2020, 87, BlueSky Developers, 4, 1, 169
73200, Mickiewicza, 57, apartment, between 1900-1950, 64, SilverStone Constructions, 7, 3, 257
73201, Piastowska, 98, flat, between 1900-1950, 29, GreenField Group, 2, 1, 157
73202, Mickiewicza, 92, twin, between 2011-2020, 150, GreenField Group, 2, 2, 153
73203, Wspolna, 80, flat, between 1900-1950, 74, GreenField Group, 8, 5, 176
73204, Zielona, 57, apartment, between 2021-2024, 182, BlueSky Developers, 2, 1, 152
73205, Polna, 91, flat, between 2001-2010, 181, GreenField Group, 8, 4, 75
73206, Rzeczna, 77, house, between 2001-2010, 105, GreenField Group, 1, 1, 27
73207, Mickiewicza, 86, house, between 1981-2000, 160, BlueSky Developers, 9, 2, 57
73208, Lesna, 89, apartment, between 2011-2020, 24, BlueSky Developers, 3, 1, 42
73209, Lesna, 77, flat, between 1981-2000, 97, GreenField Group, 4, 4, 23
73210, Reymonta, 99, house, between 2001-2010, 38, GoldenGate Builders, 6, 2, 239
73211, Sosnowa, 36, flat, between 1981-2000, 46, SilverStone Constructions, 5, 2, 252
73212, Cicha, 26, flat, between 2011-2020, 99, GoldenGate Builders, 7, 1, 38
73213, Ogrodowa, 52, flat, between 2001-2010, 113, GoldenGate Builders, 8, 2, 80
73214, Parkowa, 93, twin, between 2011-2020, 96, BlueSky Developers, 2, 1, 298
73215, Kwiatowa, 39, house, between 1900-1950, 43, BlueSky Developers, 5, 2, 270
73216, Ogrodowa, 91, apartment, between 1981-2000, 52, SilverStone Constructions, 6, 4, 212
73217, Ogrodowa, 58, apartment, between 1900-1950, 87, SilverStone Constructions, 3, 2, 202
73218, Mickiewicza, 47, twin, between 2021-2024, 193, BlueSky Developers, 3, 1, 181
73219, Slowackiego, 59, twin, between 1900-1950, 145, GoldenGate Builders, 2, 1, 260
73220, Krucza, 49, apartment, between 1951-1980, 12, BlueSky Developers, 8, 6, 249
73221, Zielona, 84, apartment, between 2001-2010, 38, GreenField Group, 6, 3, 171
73222, Sportowa, 92, flat, between 2011-2020, 71, BlueSky Developers, 1, 1, 134
73223, Slowackiego, 53, flat, between 1951-1980, 42, BlueSky Developers, 6, 6, 26
73224, Kwiatowa, 99, apartment, between 2021-2024, 71, GoldenGate Builders, 5, 4, 25
73225, Mickiewicza, 67, flat, between 1900-1950, 18, GreenField Group, 9, 8, 133
73226, Ogrodowa, 68, apartment, between 1951-1980, 96, GreenField Group, 7, 5, 274
73227, Aleja Lipowa, 20, apartment, between 2001-2010, 159, BlueSky Developers, 3, 2, 198
73228, Piastowska, 33, apartment, between 1900-1950, 188, BlueSky Developers, 6, 1, 290
73229, Jagiellonska, 38, flat, between 1900-1950, 168, GreenField Group, 7, 4, 185
73230, Kwiatowa, 95, flat, between 2001-2010, 137, GreenField Group, 10, 6, 12
